번호,제목,책 소개 요약
1,호의에 대하여,"문형배 재판관이 편견과 독선에 빠지지 않고 작고 평범한 보통의 삶을 지키기 위해 배우고 성찰하며 기록한 120편의 글. 나의 일상을 풍요롭게 채우는 건 어떤 의미인가, 다른 사람의 삶을 온전히 이해할 수 있는가, 사람과 사회는 바뀔 수 있는가."
2,다시 시작하는 평생 독서법,"독서의 모든 순간을 즐길 수 있는 평생 독서법 잘 고르고, 읽고, 쓰고, 남기는 확장된 독서의 모든 것 책 읽는 게 힙한 취미라고 한다. 독서는 더 이상 조용한 취미가 아니라 트렌디한 자기 표현 방식이 되고 있다. 하지만 현실은 어떤가. 책을 사서 올려두고 사진만 찍은 채 끝내는 경우가 많다. 김선영 작가는 신작 다시 시작하는 평생 독서법 을 통해 근본적인 독서의 방법을 처음부터 다시 시작하자고 제안한다."
3,세상은 실제로 어떻게 돌아가는가,"세계적 환경과학자이자 경제사학자, 빌 게이츠가 가장 신뢰하는 전방위 사상가 바츨라프 스밀이 객관적 통계와 수학적 자료를 토대로 인류의 과거를 탐색하고, 현대 문명에 대한 오해와 진실을 밝힌다. 사실 기반의 명확한 데이터와 통계를 치밀하고 집요하게 추적하는 바츨라프 스밀 특유의 서술 방식은 현대 세계의 작동 방식을 설명하는 데 더없이 적합하다."
4,다크 심리학,"인간 본성의 어두운 면을 탐구하여 타인의 감정을 조종하거나 조작하는 기술을 융합한 국내 최초 다크 심리학을 기반한 심리 기술을 담아낸 다크 심리학 은 인간의 본성, 그 어두운 프로그래밍을 실전 기술로 해부한 책이다. 이 책을 통해 어둠의 구조와 전략을 알게 된다면, 더는 당하는 희생자 가 아니다. 더 나아가 필요하다면 어둠의 기술 들을 창의적으로 재구성할 수도 있다. 지금, 당신이 살아남기 위해 가장 먼저 읽어야 할 책. 다크 심리학 을 꼭 만나기를 바란다."
5,팩트풀니스(50만 부 뉴에디션),전 세계적으로 확증편향이 기승을 부리는 탈진실의 시대에 막연한 두려움과 편견을 이기는 팩트의 중요성을 일깨우는 세계적 역작. 세상을 바라보는 방식을 바꾸고 미래의 위기와 기회에 대처하기 위해 반드시 읽어야 할 필독서이다.
6,우리 본성의 선한 천사,"이 책은 인간사회에서 발생한 폭력을 분석한 실증연구이자 전작인 마음 3부작을 통해 저자가 심층적으로 탐구해 온 인간 본성의 과학을 집대성한 결과물이다. 전쟁과 약탈, 학대, 강간, 살인 등 갖가지 잔혹 행위를 기록한 사료들 뿐 아니라 고고학, 민족지학, 인류학 등 방대한 자료를 분석하여 폭력의 역사를 재구성하였다. 독자들에게 우리가 살고 있는 오늘이 과거 어느 때보다 덜 잔인하고 덜 폭력적이며 더 평화로운 시대라는 것을 깨닫게 해준다."
7,오늘도 잘 놀다 갑니다,"<소풍족>은 여행 중 마주하는 당황스러움, 혼자만의 시간에 떠오르는 복잡한 감정들, 여행이 단순한 휴식이나 재미를 넘어 일상으로 돌아온 후에도 우리 삶에 어떤 변화를 가져다주는지, 그 과정에서 우리는 어떻게 조금씩 성장해 가는지를 보여주는 책이다."
8,혼모노,"성해나는 2024·2025 젊은작가상, 2024 이효석문학상 우수작품상, 2024 김만중문학상 신인상 등 다수의 문학상을 연달아 수상하고 예스24가 선정한 2024 한국문학의 미래가 될 젊은 작가 투표에서 1위로 선정되는 등 이미 그 화제성을 증명한 바 있다. 이번 소설집에는 표제작 「혼모노」를 비롯해 작가에게 2년 연속 젊은작가상을 선사해준 「길티 클럽: 호랑이 만지기」, 이 계절의 소설과 올해의 문제소설에 선정된 「스무드」 등이 수록되어 더욱 눈길을 끈다."
9,안녕이라 그랬어,"소설가 김애란이 바깥은 여름 이후 팔 년 만에 새 소설집으로 돌아왔다. 이번 책에서는 인물들이 누군가의 공간을 방문하면서 이야기가 펼쳐진다. 그곳은 집주인의 미감과 여유를 짐작하게 하는 우아하고 안정적인 공간이거나(「홈 파티」), 값싼 물가와 저렴한 체류 비용 덕분에 한 달 여행이라는 사치 를 가능하게 하는 해외의 단독주택이다(「숲속 작은 집」). 그리고 정성스레 가꾸고 사용해왔지만 이제는 새 집주인을 위해 이사 준비를 해야 하는 전셋집이거나(「좋은 이웃」), 회사를 관두고 그간 모은 돈을 전부 털어 문을 연 책방이기도 하다(「레몬케이크」). 안녕이라 그랬어 에서 공간이 중요한 이유는 그곳이 단순히 이야기의 배경으로 기능하는 게 아니라 인물들의 삶 그 자체와 같기 때문이다."
10,고전이 답했다 마땅히 가져야 할 부에 대하여,"한 달에 30여 차례 전국의 강연장을 찾아가 독자들을 만나고, 매일 아침 유튜브를 통해 10만 독자들에게 동기부여 강연을 하는 고명환이 고전이 답했다 마땅히 살아야 할 삶에 대하여 에 이어 이번에는 마땅히 가져야 할 부(富) 에 대해 말한다. 고전이 답했다 마땅히 가져야 할 부에 대하여 는 많은 사람들의 고민이자 가장 관심 있는 주제 돈 에 관해 말한다. 나는 부자가 될 수 있는지, 얼마만큼 가져야 하는지, 부자가 되려면 무엇을 해야하는지 등 돈과 관련된 질문을 던지고 고전에서 그 답을 찾아간다."
